State,Latitude,Longitude,Population
Alabama,32.318231,-86.902298,4903185
Alaska,61.370716,-152.404419,731545
Arizona,34.048928,-111.093731,7278717
Arkansas,34.267593,-92.811075,3017804
California,36.778261,-119.417932,39538223
Colorado,39.550051,-105.782067,5758736
Connecticut,41.603221,-73.087749,3565287
Delaware,38.910832,-75.52767,973764
Florida,27.664827,-81.515754,705749
Georgia,32.157435,-82.907123,1071000
Hawaii,20.796508,-156.331926,1440361
Idaho,43.299428,-114.357594,1787065
Illinois,40.349457,-88.986137,12671821
Indiana,39.849426,-86.258278,6732219
Iowa,42.011539,-93.210526,3155070
Kansas,38.5266,-96.726486,2913314
Kentucky,37.66814,-84.670067,4467673
Louisiana,31.169546,-91.867805,4648794
Maine,44.693947,-69.381927,1362359
Maryland,39.063946,-76.802101,6045680
Massachusetts,42.230171,-71.530106,6892503
Michigan,43.326618,-84.536095,9986857
Minnesota,45.694454,-93.900192,5639632
Mississippi,32.741646,-89.678696,2976149
Missouri,38.456085,-92.288368,6137428
Montana,46.921925,-110.454353,1068778
Nebraska,41.12537,-98.268082,1934408
Nevada,38.313515,-117.055374,3080156
New Hampshire,43.452492,-71.563896,1359711
New Jersey,40.298904,-74.521011,9288994
New Mexico,34.840515,-106.248482,2117522
New York,42.165726,-74.948051,20201249
North Carolina,35.630066,-79.806419,10439388
North Dakota,47.528912,-99.784012,762062
Ohio,40.388783,-82.764915,11689100
Oklahoma,35.565342,-96.928917,3956971
Oregon,44.572021,-122.070938,4217737
Pennsylvania,40.590752,-77.209755,12801989
Rhode Island,41.680893,-71.51178,1059361
South Carolina,33.856892,-80.945007,5148714
South Dakota,44.299782,-99.438828,884659
Tennessee,35.747845,-86.692345,6829174
Texas,31.054487,-97.563461,28995881
Utah,40.150032,-111.862434,3205958
Vermont,44.045876,-72.710686,623989
Virginia,37.769337,-78.169968,8535519
Washington,47.400902,-121.490494,7614893
West Virginia,38.491226,-80.954162,1792147
Wisconsin,44.268543,-89.616508,5822434
Wyoming,42.755966,-107.30249,578759